,Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity,Surface Albedo
2017-01-01 00:00:00,2017,1,1,0,30,0,22.0,100.0,0.123
2017-01-01 01:00:00,2017,1,1,1,30,0,22.0,100.0,0.123
2017-01-01 02:00:00,2017,1,1,2,30,0,22.0,100.0,0.123
2017-01-01 03:00:00,2017,1,1,3,30,0,22.0,100.0,0.123
2017-01-01 04:00:00,2017,1,1,4,30,0,22.0,100.0,0.123
2017-01-01 05:00:00,2017,1,1,5,30,0,22.0,100.0,0.123
2017-01-01 06:00:00,2017,1,1,6,30,21,22.0,100.0,0.123
2017-01-01 07:00:00,2017,1,1,7,30,220,23.0,100.0,0.123
2017-01-01 08:00:00,2017,1,1,8,30,457,25.0,91.12,0.123
2017-01-01 09:00:00,2017,1,1,9,30,466,27.0,78.21000000000001,0.123
2017-01-01 10:00:00,2017,1,1,10,30,433,28.0,72.24,0.123
2017-01-01 11:00:00,2017,1,1,11,30,344,29.0,67.77,0.123
2017-01-01 12:00:00,2017,1,1,12,30,617,29.0,68.56,0.123
2017-01-01 13:00:00,2017,1,1,13,30,489,28.0,73.63,0.123
2017-01-01 14:00:00,2017,1,1,14,30,617,27.0,78.53,0.123
2017-01-01 15:00:00,2017,1,1,15,30,23,26.0,83.8,0.123
2017-01-01 16:00:00,2017,1,1,16,30,40,25.0,89.73,0.123
2017-01-01 17:00:00,2017,1,1,17,30,118,24.0,96.65,0.123
2017-01-01 18:00:00,2017,1,1,18,30,0,23.0,100.0,0.123
2017-01-01 19:00:00,2017,1,1,19,30,0,23.0,100.0,0.123
2017-01-01 20:00:00,2017,1,1,20,30,0,23.0,100.0,0.123
2017-01-01 21:00:00,2017,1,1,21,30,0,23.0,100.0,0.123
2017-01-01 22:00:00,2017,1,1,22,30,0,22.0,100.0,0.123
2017-01-01 23:00:00,2017,1,1,23,30,0,22.0,100.0,0.123
2017-01-02 00:00:00,2017,1,2,0,30,0,22.0,100.0,0.123
2017-01-02 01:00:00,2017,1,2,1,30,0,22.0,100.0,0.123
2017-01-02 02:00:00,2017,1,2,2,30,0,22.0,100.0,0.123
2017-01-02 03:00:00,2017,1,2,3,30,0,22.0,100.0,0.123
2017-01-02 04:00:00,2017,1,2,4,30,0,22.0,100.0,0.123
2017-01-02 05:00:00,2017,1,2,5,30,0,22.0,100.0,0.123
2017-01-02 06:00:00,2017,1,2,6,30,20,22.0,100.0,0.123
2017-01-02 07:00:00,2017,1,2,7,30,222,23.0,100.0,0.123
2017-01-02 08:00:00,2017,1,2,8,30,459,24.0,97.92,0.123
2017-01-02 09:00:00,2017,1,2,9,30,671,26.0,84.38,0.123
2017-01-02 10:00:00,2017,1,2,10,30,833,27.0,77.93,0.123
2017-01-02 11:00:00,2017,1,2,11,30,255,27.0,77.63,0.123
2017-01-02 12:00:00,2017,1,2,12,30,268,28.0,73.07000000000001,0.123
2017-01-02 13:00:00,2017,1,2,13,30,533,28.0,72.72,0.123
2017-01-02 14:00:00,2017,1,2,14,30,242,27.0,72.39,0.123
2017-01-02 15:00:00,2017,1,2,15,30,245,27.0,76.7,0.123
2017-01-02 16:00:00,2017,1,2,16,30,282,26.0,81.59,0.123
2017-01-02 17:00:00,2017,1,2,17,30,98,24.0,93.52,0.123
2017-01-02 18:00:00,2017,1,2,18,30,0,23.0,100.0,0.123
2017-01-02 19:00:00,2017,1,2,19,30,0,23.0,100.0,0.123
2017-01-02 20:00:00,2017,1,2,20,30,0,23.0,100.0,0.123
2017-01-02 21:00:00,2017,1,2,21,30,0,22.0,100.0,0.123
2017-01-02 22:00:00,2017,1,2,22,30,0,22.0,100.0,0.123
2017-01-02 23:00:00,2017,1,2,23,30,0,22.0,100.0,0.123
2017-01-03 00:00:00,2017,1,3,0,30,0,22.0,100.0,0.123
2017-01-03 01:00:00,2017,1,3,1,30,0,22.0,100.0,0.123
2017-01-03 02:00:00,2017,1,3,2,30,0,21.0,100.0,0.123
2017-01-03 03:00:00,2017,1,3,3,30,0,21.0,100.0,0.123
2017-01-03 04:00:00,2017,1,3,4,30,0,21.0,100.0,0.123
2017-01-03 05:00:00,2017,1,3,5,30,0,21.0,100.0,0.123
2017-01-03 06:00:00,2017,1,3,6,30,21,23.0,97.02,0.123
2017-01-03 07:00:00,2017,1,3,7,30,231,25.0,83.52,0.123
2017-01-03 08:00:00,2017,1,3,8,30,302,27.0,68.31,0.123
2017-01-03 09:00:00,2017,1,3,9,30,221,29.0,63.870000000000005,0.123
2017-01-03 10:00:00,2017,1,3,10,30,418,30.0,61.15,0.123
2017-01-03 11:00:00,2017,1,3,11,30,673,30.0,59.370000000000005,0.123
2017-01-03 12:00:00,2017,1,3,12,30,424,30.0,64.2,0.123
2017-01-03 13:00:00,2017,1,3,13,30,204,29.0,69.11,0.123
2017-01-03 14:00:00,2017,1,3,14,30,445,28.0,73.76,0.123
2017-01-03 15:00:00,2017,1,3,15,30,12,27.0,78.49,0.123
2017-01-03 16:00:00,2017,1,3,16,30,187,26.0,83.78,0.123
2017-01-03 17:00:00,2017,1,3,17,30,65,24.0,95.15,0.123
2017-01-03 18:00:00,2017,1,3,18,30,0,24.0,96.47,0.123
2017-01-03 19:00:00,2017,1,3,19,30,0,23.0,100.0,0.123
2017-01-03 20:00:00,2017,1,3,20,30,0,23.0,100.0,0.123
2017-01-03 21:00:00,2017,1,3,21,30,0,23.0,100.0,0.123
2017-01-03 22:00:00,2017,1,3,22,30,0,23.0,100.0,0.123
2017-01-03 23:00:00,2017,1,3,23,30,0,22.0,100.0,0.123
2017-01-04 00:00:00,2017,1,4,0,30,0,22.0,100.0,0.123
2017-01-04 01:00:00,2017,1,4,1,30,0,22.0,100.0,0.123
2017-01-04 02:00:00,2017,1,4,2,30,0,22.0,100.0,0.123
2017-01-04 03:00:00,2017,1,4,3,30,0,22.0,100.0,0.123
2017-01-04 04:00:00,2017,1,4,4,30,0,22.0,100.0,0.123
2017-01-04 05:00:00,2017,1,4,5,30,0,22.0,100.0,0.123
2017-01-04 06:00:00,2017,1,4,6,30,7,23.0,97.34,0.123
2017-01-04 07:00:00,2017,1,4,7,30,81,25.0,84.39,0.123
